ts_ms,phase,val,pos_steps,spd_sps,real_rpm,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
396370,LAUNCH_CCW,2500,1746013,-133333,0,32,28,-174,176,0,0,0,0,0
396420,LAUNCH_CCW,2500,1739346,-133333,0,32,28,-174,176,0,0,0,0,0
396470,LAUNCH_CCW,2500,1732680,-133333,0,32,28,-174,176,0,0,0,0,0
396520,LAUNCH_CCW,2500,1726059,-133333,0,32,28,-174,176,0,0,0,0,0
396570,LAUNCH_CCW,2500,1719342,-133333,0,32,28,-174,176,0,0,0,0,0
396620,LAUNCH_CCW,2500,1712680,-133333,0,32,28,-174,176,0,0,0,0,0
396670,LAUNCH_CCW,2500,1706013,-133333,0,36,28,-175,175,0,0,0,0,0
396720,LAUNCH_CCW,2500,1699346,-133333,0,36,28,-175,175,0,0,0,0,0
396770,LAUNCH_CCW,2500,1692678,-133333,0,36,28,-175,175,0,0,0,0,0
396820,LAUNCH_CCW,2500,1686013,-133333,0,36,28,-175,175,0,0,0,0,0
398374,LAUNCH_CCW,2500,1588350,0,0,2,28,36,244,0,0,0,1,0
398424,LAUNCH_CCW,2500,1588219,-5284,0,2,28,36,244,0,0,0,1,0
398474,LAUNCH_CCW,2500,1587832,-10230,0,2,28,36,244,0,0,0,1,0
398524,LAUNCH_CCW,2500,1587194,-15267,0,2,28,36,244,0,0,0,1,0
398574,LAUNCH_CCW,2500,1586305,-20330,0,2,28,36,244,0,0,0,1,0
398624,LAUNCH_CCW,2500,1585166,-25236,0,28,28,93,228,0,0,0,0,0
398674,LAUNCH_CCW,2500,1583777,-30360,0,28,28,93,228,0,0,0,0,0
398724,LAUNCH_CCW,2500,1582138,-35320,0,28,28,93,228,0,0,0,0,0
398774,LAUNCH_CCW,2500,1580250,-40201,0,28,28,93,228,0,0,0,0,0
398824,LAUNCH_CCW,2500,1578111,-45325,0,28,28,93,228,0,0,0,0,0
398874,LAUNCH_CCW,2500,1575724,-50314,0,28,28,93,228,0,0,0,0,0
398924,LAUNCH_CCW,2500,1573087,-55172,0,448,28,93,228,0,0,0,0,0
398974,LAUNCH_CCW,2500,1570201,-60150,0,448,28,-231,-90,0,0,0,0,0
399024,LAUNCH_CCW,2500,1567062,-65306,0,448,28,-231,-90,0,0,0,0,0
399074,LAUNCH_CCW,2500,1563674,-70484,0,448,28,-231,-90,0,0,0,0,0
399124,LAUNCH_CCW,2500,1560032,-75471,0,448,28,-231,-90,0,0,0,0,0
399174,LAUNCH_CCW,2500,1556196,-80402,0,448,28,-231,-90,0,0,0,0,0
399224,LAUNCH_CCW,2500,1552000,-85106,9999,448,28,-231,-90,0,0,0,0,0
399274,LAUNCH_CCW,2500,1547612,-90395,0,152,28,-231,-90,0,0,0,0,0
399324,LAUNCH_CCW,2500,1542971,-95238,0,152,28,144,200,0,0,0,0,0
399374,LAUNCH_CCW,2500,1538084,-100000,0,152,28,144,200,0,0,0,0,0
399424,LAUNCH_CCW,2500,1532942,-105263,0,152,28,144,200,0,0,0,0,0
399474,LAUNCH_CCW,2500,1527549,-110344,0,152,28,144,200,0,0,0,0,0
399524,LAUNCH_CCW,2500,1521909,-115107,0,152,28,144,200,0,0,0,0,0
399574,LAUNCH_CCW,2500,1516021,-120300,0,152,28,144,200,0,0,0,0,0
399624,LAUNCH_CCW,2500,1509883,-125984,0,56,28,15,246,0,0,0,0,0
399674,LAUNCH_CCW,2500,1503483,-130081,0,56,28,15,246,0,0,0,0,0
399724,LAUNCH_CCW,2500,1496860,-133333,0,56,28,15,246,0,0,0,0,0
399774,LAUNCH_CCW,2500,1490194,-133333,0,56,28,15,246,0,0,0,0,0
399824,LAUNCH_CCW,2500,1483527,-133333,0,56,28,15,246,0,0,0,0,0
399874,LAUNCH_CCW,2500,1476860,-133333,0,56,28,15,246,0,0,0,0,0
399924,LAUNCH_CCW,2500,1470194,-133333,0,26,28,15,246,0,0,0,0,0
399974,LAUNCH_CCW,2500,1463526,-133333,0,26,28,56,-241,0,0,0,0,0
400024,LAUNCH_CCW,2500,1456860,-133333,0,26,28,56,-241,0,0,0,0,0
400074,LAUNCH_CCW,2500,1450193,-133333,0,26,28,56,-241,0,0,0,0,0
400124,LAUNCH_CCW,2500,1443527,-133333,0,26,28,56,-241,0,0,0,0,0
400174,LAUNCH_CCW,2500,1436861,-133333,0,26,28,56,-241,0,0,0,0,0
400224,LAUNCH_CCW,2500,1430193,-133333,0,26,28,56,-241,0,0,0,0,0
400274,LAUNCH_CCW,2500,1423526,-133333,0,24,28,41,-244,0,0,0,0,0
400324,LAUNCH_CCW,2500,1416860,-133333,0,24,28,41,-244,0,0,0,0,0
401878,LAUNCH_CCW,2500,1319199,0,0,20,28,1,-248,0,0,0,0,0
401928,LAUNCH_CCW,2500,1319068,-5284,0,0,28,-195,152,0,0,0,0,0
401978,LAUNCH_CCW,2500,1318681,-10230,0,0,28,-195,152,0,0,0,0,0
402029,LAUNCH_CCW,2500,1318025,-15458,0,0,28,-195,152,0,0,0,0,0
402079,LAUNCH_CCW,2500,1317133,-20330,0,0,28,-195,152,0,0,0,0,0
402129,LAUNCH_CCW,2500,1315989,-25437,0,0,28,-195,152,0,0,0,0,0
402179,LAUNCH_CCW,2500,1314595,-30360,0,0,28,-195,152,0,0,0,0,0
402229,LAUNCH_CCW,2500,1312950,-35476,0,188,28,-218,-118,0,0,0,0,0
402279,LAUNCH_CCW,2500,1311057,-40404,0,188,28,-218,-118,0,0,0,0,0
402329,LAUNCH_CCW,2500,1308913,-45325,0,188,28,-218,-118,0,0,0,0,0
402379,LAUNCH_CCW,2500,1306521,-50314,0,188,28,-218,-118,0,0,0,0,0
402429,LAUNCH_CCW,2500,1303879,-55363,0,188,28,-218,-118,0,0,0,0,0
402479,LAUNCH_CCW,2500,1300988,-60377,0,188,28,-218,-118,0,0,0,0,0
402529,LAUNCH_CCW,2500,1297844,-65306,0,188,28,-218,-118,0,0,0,0,0
402579,LAUNCH_CCW,2500,1294450,-70484,0,324,28,24,-247,0,0,0,0,0
402629,LAUNCH_CCW,2500,1290802,-75471,0,324,28,24,-247,0,0,0,0,0
402679,LAUNCH_CCW,2500,1286909,-80402,0,324,28,24,-247,0,0,0,0,0
402729,LAUNCH_CCW,2500,1282762,-85106,0,324,28,24,-247,0,0,0,0,0
402779,LAUNCH_CCW,2500,1278368,-90395,0,324,28,24,-247,0,0,0,0,0
402829,LAUNCH_CCW,2500,1273722,-95238,0,324,28,24,-247,0,0,0,0,0
402879,LAUNCH_CCW,2500,1268829,-100628,0,126,28,152,194,0,0,0,0,0
402929,LAUNCH_CCW,2500,1263682,-105263,0,126,28,152,194,0,0,0,0,0
402979,LAUNCH_CCW,2500,1258284,-110344,0,126,28,152,194,0,0,0,0,0
403029,LAUNCH_CCW,2500,1252638,-115107,0,126,28,152,194,0,0,0,0,0
403079,LAUNCH_CCW,2500,1246746,-120300,0,126,28,152,194,0,0,0,0,0
403129,LAUNCH_CCW,2500,1240601,-125984,0,126,28,152,194,0,0,0,0,0
403179,LAUNCH_CCW,2500,1234198,-130081,0,126,28,152,194,0,0,0,0,0
403229,LAUNCH_CCW,2500,1227571,-133333,0,36,28,-160,188,0,0,0,0,0
403279,LAUNCH_CCW,2500,1220904,-133333,0,36,28,-160,188,0,0,0,0,0
403329,LAUNCH_CCW,2500,1214238,-133333,0,36,28,-160,188,0,0,0,0,0
403379,LAUNCH_CCW,2500,1207571,-133333,0,36,28,-160,188,0,0,0,0,0
403429,LAUNCH_CCW,2500,1200905,-133333,0,36,28,-160,188,0,0,0,0,0
403479,LAUNCH_CCW,2500,1194238,-133333,0,36,28,-160,188,0,0,0,0,0
403529,LAUNCH_CCW,2500,1187570,-133333,0,34,28,-244,41,0,0,0,0,0
403579,LAUNCH_CCW,2500,1180904,-133333,0,34,28,-244,41,0,0,0,0,0
403629,LAUNCH_CCW,2500,1174238,-133333,0,34,28,-244,41,0,0,0,0,0
403679,LAUNCH_CCW,2500,1167572,-133333,0,34,28,-244,41,0,0,0,0,0
403729,LAUNCH_CCW,2500,1160903,-133333,0,34,28,-244,41,0,0,0,0,0
403779,LAUNCH_CCW,2500,1154238,-133333,0,34,28,-244,41,0,0,0,0,0
403829,LAUNCH_CCW,2500,1147571,-133333,0,34,28,-244,41,0,0,0,0,0
407636,COAST,6960,1124965,53872,0,364,28,-124,-215,0,0,0,0,0
407888,COAST,0,1137597,46376,0,364,28,174,-176,0,0,0,0,0
408139,COAST,0,1148293,38929,0,364,28,211,127,0,0,0,0,0
408390,COAST,0,1157105,31372,0,364,28,211,127,0,0,0,0,0
408642,COAST,0,1164054,23845,0,364,28,33,245,0,0,0,0,0
408894,COAST,0,1169106,16276,0,364,28,-76,235,0,0,0,0,0
409145,COAST,0,1172251,8786,0,364,28,-148,198,0,0,0,0,0
409397,COAST,0,1173518,1223,0,364,28,-148,198,0,0,0,0,0
409650,COAST,0,1173546,0,0,364,28,-207,-136,0,0,0,0,0
409902,COAST,0,1173546,0,0,364,28,211,-128,0,0,0,1,1
410153,COAST,0,1173546,0,0,364,28,211,-128,0,0,0,1,1
410405,COAST,0,1173546,0,0,364,27,211,-128,0,0,0,1,1
413489,GHOST,400,1185350,0,0,38,12,-81,233,0,0,0,1,0
416553,GHOST,350,1197094,0,0,64,10,247,-13,0,0,0,1,0
