ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
50361,FINE,380,35053,4388,42,18,-166,183,0,0,0,0,0
50561,FINE,380,35201,567,46,18,-107,-224,0,0,0,0,0
50761,FINE,390,35343,4240,40,18,198,-148,0,0,0,0,0
50961,FINE,390,35478,5938,40,18,247,10,0,0,0,0,0
51161,FINE,390,35607,7195,40,18,244,35,0,0,0,0,0
51361,FINE,390,35764,8477,42,18,-245,36,0,0,0,0,0
51561,FINE,390,35922,9596,40,18,232,-84,0,0,0,0,0
51761,FINE,390,36079,10591,42,18,-199,147,0,0,0,0,0
51961,FINE,390,36238,11512,40,18,182,-167,0,0,0,0,0
52161,FINE,390,36393,12344,44,18,-83,233,0,0,0,0,0
52361,FINE,390,36556,13161,38,18,146,-200,0,0,0,0,0
52561,FINE,390,36716,13918,42,18,-147,199,0,0,0,0,0
52761,FINE,390,36873,13996,40,18,82,-234,0,0,0,0,0
52961,FINE,390,37037,13225,42,18,-166,183,0,0,0,0,0
53161,FINE,390,37196,12431,40,18,146,-200,0,0,0,0,0
53361,FINE,390,37360,11556,40,18,-212,127,0,0,0,0,0
53561,FINE,390,37517,10651,40,18,165,-184,0,0,0,0,0
53761,FINE,390,37674,9662,42,18,-105,224,0,0,0,0,0
53961,FINE,390,37831,8560,44,18,35,-245,0,0,0,0,0
54161,FINE,390,37980,7362,36,18,199,146,0,0,0,0,0
54361,FINE,390,38138,5829,44,18,-225,-105,0,0,0,0,0
54561,FINE,390,38295,3726,40,18,244,35,0,0,0,0,0
54761,FINE,400,38428,1806,34,18,199,146,0,0,0,0,0
54961,FINE,400,38586,4846,44,18,-225,-105,0,0,0,0,0
55161,FINE,400,38743,6601,40,18,244,35,0,0,0,0,0
55361,FINE,400,38904,8011,44,18,-241,-60,0,0,0,0,0
55561,FINE,400,39061,9180,40,18,247,-13,0,0,0,0,0
55761,FINE,400,39223,10247,42,18,-245,-36,0,0,0,0,0
55961,FINE,400,39383,11202,40,18,244,35,0,0,0,0,0
56161,FINE,400,39540,12066,44,18,-245,36,0,0,0,0,0
56361,FINE,400,39699,12881,40,18,239,-61,0,0,0,0,0
56561,FINE,400,39846,13592,36,18,-11,247,0,0,0,0,0
56761,FINE,400,40006,14299,42,18,10,-248,0,0,0,0,0
56961,FINE,400,40169,13550,64,18,-83,233,0,0,0,0,0
57161,FINE,400,40326,12787,44,18,10,-248,0,0,0,0,0
57361,FINE,400,40486,11959,42,18,-11,247,0,0,0,0,0
57561,FINE,400,40646,11070,44,18,10,-248,0,0,0,0,0
57762,FINE,400,40802,10128,34,18,83,232,0,0,0,0,0
57962,FINE,400,40942,9201,42,18,-183,166,0,0,0,0,0
58162,FINE,400,41099,8035,42,18,126,-213,0,0,0,0,0
58362,FINE,400,41256,6669,42,18,-60,240,0,0,0,0,0
58562,FINE,400,41401,5091,56,18,-234,-83,0,0,0,0,0
58762,FINE,400,41560,2359,36,18,240,59,0,0,0,0,0
58962,FINE,410,41691,3365,36,18,212,126,0,0,0,0,0
59162,FINE,410,41849,5616,44,18,-234,-83,0,0,0,0,0
59362,FINE,410,42002,7150,40,18,232,-84,0,0,0,0,0
59562,FINE,410,42147,8348,36,18,60,239,0,0,0,0,0
59762,FINE,410,42306,9489,44,18,-84,-233,0,0,0,0,0
59962,FINE,410,42460,10476,36,18,199,146,0,0,0,0,0
60162,FINE,410,42617,11395,44,18,-234,-83,0,0,0,0,0
60362,FINE,410,42772,12234,40,18,244,-37,0,0,0,0,0
60562,FINE,410,42932,13044,44,18,-245,36,0,0,0,0,0
60762,FINE,410,43093,13812,40,18,247,-13,0,0,0,0,0
60962,FINE,410,43257,14069,46,18,-234,-83,0,0,0,0,0
61162,FINE,410,43415,13331,40,18,244,35,0,0,0,0,0
61362,FINE,410,43576,12534,44,18,-241,-60,0,0,0,0,0
61562,FINE,410,43734,11699,36,18,247,10,0,0,0,0,0
61762,FINE,410,43894,10789,42,18,-248,-11,0,0,0,0,0
61962,FINE,410,44055,9787,40,18,244,35,0,0,0,0,0
62162,FINE,410,44213,8693,42,18,-248,12,0,0,0,0,0
62362,FINE,410,44371,7440,38,18,239,-61,0,0,0,0,0
62562,FINE,410,44529,5927,44,18,-224,106,0,0,0,0,0
62762,FINE,410,44688,3844,38,18,211,-128,0,0,0,0,0
62962,FINE,420,44825,1697,34,18,233,82,0,0,0,0,0
63162,FINE,420,44984,4819,44,18,-241,-60,0,0,0,0,0
63362,FINE,420,45141,6582,38,18,247,-13,0,0,0,0,0
63562,FINE,420,45300,7979,42,18,-245,36,0,0,0,0,0
63762,FINE,420,45455,9138,40,18,198,-148,0,0,0,0,0
63962,FINE,420,45613,10185,44,18,-166,183,0,0,0,0,0
64162,FINE,420,45774,11150,38,18,182,-167,0,0,0,0,0
64362,FINE,420,45933,12028,44,18,-166,183,0,0,0,0,0
64562,FINE,420,46093,12851,40,18,165,-184,0,0,0,0,0
64762,FINE,420,46253,13625,42,18,-166,183,0,0,0,0,0
64962,FINE,420,46414,14263,40,18,182,-167,0,0,0,0,0
65162,FINE,420,46577,13512,36,18,-224,106,0,0,0,0,0
65362,FINE,420,46735,12741,40,18,198,-148,0,0,0,0,0
65562,FINE,420,46897,11900,42,18,-224,106,0,0,0,0,0
